Title,Summary,URL
La manif contre les mégabassines dans le Puy-de-Dôme n’avait pas grand-chose à voir avec Sainte-Soline,"En mars 2023, les manifestations dans les Deux-Sèvres avaient été émaillées de violents heurts entre les antibassines et les forces de l’ordre.",https://www.huffingtonpost.fr/environnement/video/megabassines-dans-le-puy-de-dome-manifestation-totalement-pacifique-contrairement-a-sainte-soline_233773.html
"Sur Écophyto, des experts appellent l’État à choisir « la santé et pas le cancer »","« Apaiser la colère légitime du monde agricole en perpétuant son exposition aux pesticides n’est pas la solution », fustigent ces quelque 400 chercheurs et 200 soignants.",https://www.huffingtonpost.fr/environnement/article/plan-ecophyto-sur-les-pesticides-des-centaines-d-experts-appellent-l-etat-a-choisir-la-sante-et-pas-le-cancer_233648.html
"Sur Écophyto, Fesneau garde l’objectif de réduction des pesticides mais ignore les écolos","Le ministre de l’Agriculture a annoncé les grands axes du nouveau plan Ecophyto, qui échoue depuis 2008 à réduire de moitié le recours aux produits phytosanitaire.",https://www.huffingtonpost.fr/environnement/article/plan-ecophyto-marc-fesneau-maintient-l-objectif-de-reduction-des-pesticides-tout-en-ignorant-les-ecolos_233481.html
« Il n’y aura pas beaucoup de Chablis cette année » : les orages ont fortement abîmé les vignes dans l’Yonne,"La région de Chablis a été traversée par deux « supercellules grêligènes » mercredi soir, selon Météo-France. Les vignes sont largement endommagées, faisant craindre une faible production de vin blanc pour cette année.",https://www.huffingtonpost.fr/france/video/orages-les-vignes-de-chablis-dans-l-yonne-fortement-abimees-par-les-grelons_233434.html
Emmanuel Macron reçoit (enfin) les syndicats agricoles à l’Élysée,"La dernière rencontre du président de la République avec les syndicats agricoles remontait au salon de l’Agriculture, à Paris, fin février.",https://www.huffingtonpost.fr/politique/article/emmanuel-macron-recoit-les-syndicats-agricoles-a-l-elysee-ce-jeudi-pour-tenter-d-acter-la-fin-de-la-crise-clx1_233317.html
"Retraites, Écophyto, trésorerie... 14 nouvelles aides débloquées pour les agriculteurs",Le Premier ministre est attendu dans la Manche où il visitera une « foire aux bulots » puis une exploitation maraîchère. La FNSEA veut être reçue par Emmanuel Macron.,https://www.huffingtonpost.fr/economie/article/retraites-des-agriculteurs-tresorerie-gabriel-attal-annonce-14-nouvelles-mesures-pour-le-monde-agricole_233228.html
L’influenceur d’extrême droite Papacito condamné pour incitation à la violence,Ugo Gil Jimenez devra payer une amende de 5 000 euros. Il échappe cependant à la peine de prison avec sursis requise par le parquet.,https://www.huffingtonpost.fr/politique/article/l-influenceur-d-extreme-droite-papacito-condamne-pour-injures-publiques-homophobes-et-incitation-a-la-violence_233208.html
Le témoignage de cet agriculteur menacé par le gel illustre la détresse de la profession,"L’épisode de gel actuel inquiète car il survient après une première quinzaine d’avril exceptionnellement douce dans l’Hexagone, où les plantes ont commencé à bourgeonner.",https://www.huffingtonpost.fr/environnement/article/episode-de-froid-en-france-ce-temoignage-illustre-la-detresse-des-agriculteurs-menaces-par-le-gel_232950.html
Pourquoi les vergers risquent de perdre leurs récoltes dans les prochains jours,"En raison des températures exceptionnellement douces en ce début avril, les vergers ont bourgeonné. La récolte est désormais menacée par le gel.",https://www.huffingtonpost.fr/environnement/article/meteo-les-vergers-de-france-risquent-de-perdre-leurs-recoltes-face-aux-gelees-qui-s-intensifient-clx1_232812.html
"Il n’y a pas que les fruits et légumes qui ont des saisons, les fromages aussi","Si vous trouvez du fromage de chèvre frais sur un étal en plein hiver, c’est que le cycle naturel des animaux n’a pas été respecté.",https://www.huffingtonpost.fr/life/article/dans-sur-le-front-hugo-clement-montre-pourquoi-il-ne-faut-plus-manger-de-fromage-de-chevre-frais-en-hiver_232672.html
